country,ISO,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,COUNTRYDATA,PR,CL,development,gdp_pc_ppp,region,region9,oecd,OVERALLINTEGRITY,PEIIndexp,PEIIndexi,rating,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,laws,lawsi,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,proceduresi,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundariesi,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,votereg,voteregi,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,partyreg,partyregi,MEDIACOVERAGE,newspapers,tv,tv2,fairaccess,faircoverage,socialmedia,media,mediai,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,finance,financei,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,postal,disabled,expats,internet,voting,votingi,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,counti,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,results,resultsi,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,EMBs,EMBsi,GENERALQUESTIONS,important,ORGCONFIDENCE,courts,government,parliament,armedforces,electoralauth,ROTATING,bribed,bribed2,freetovote,fearviolence,fearviolence2,ballotconfidential,freefairelect,cashforvotes,cashforvotes2,patronage,patronage2,audit,hacking,campaignnews,govtnews,fakenews,fakenews2,hatespeech,hatespeech2,informedchoices,foreigninterference,foreigninterference2,mediamonitors,cyberattacks,cyberattacks2,diversenews,journalisticstandards,partisanjournalists,partisanjournalists2,fakesocial,fakesocial2,PEItype
Afghanistan,AFG,Rest,Rest,2014,Rest,Rest,Rest,2018,2019,Rest,Rest,Rest,,5,6,1,1944,3,East Asia & Oceania,0,,,35,3,,3,3,4,2,3,3,54,42,,2,3,2,2,32,28,,3,3,3,3,3,46,49,,5,1,4,2,4,2,22,19,,3,3,3,3,3,3,3,3,56,50,,3,3,3,3,4,5,71,68,,2,2,2,4,2,4,2,28,23,,5,1,5,1,3,4,1,2,1,1,25,25,,2,1,2,3,3,3,3,30,26,,5,1,4,2,3,3,2,31,27,,2,3,2,2,33,26,,2,,3,3,3,5,3,,4,2,,,,,,,,,,,,,,2,4,3,3,4,4,2,4,2,4,4,4,3,3,4,2,Very Low
Angola,AGO,2012,Rest,Rest,Rest,Rest,2017,Rest,Rest,Rest,Rest,2022,,6,5,2,6140,1,Eastern & Southern Africa,0,,33,36,4,,4,2,4,2,3,3,35,31,,2,3,2,2,37,33,,3,3,3,3,3,48,52,,4,2,4,2,4,2,29,26,,3,3,3,3,4,2,3,3,49,41,,1,4,2,2,2,4,37,32,,2,2,2,4,2,4,2,31,28,,3,3,4,2,3,4,2,3,3,1,46,42,,2,3,2,4,2,4,2,41,36,,4,2,4,2,2,4,3,43,41,,2,3,2,2,44,32,,2,,3,3,3,4,3,,4,2,,,,3,,,,,,2,2,3,2,3,3,,,,,,,,,,,,,,,Very Low
Albania,ALB,Rest,2013,Rest,Rest,Rest,2017,Rest,Rest,Rest,2021,Rest,,3,3,3,12678,4,Eastern Europe & Central Asia,0,,46,50,6,,4,2,4,2,3,3,39,32,,3,4,3,3,61,49,,4,2,3,3,3,41,50,,2,4,2,4,3,3,65,70,,2,4,3,4,5,1,3,3,53,53,,2,4,2,3,2,4,44,41,,3,3,2,4,2,4,2,33,30,,3,3,4,2,4,4,3,3,2,2,47,45,,4,3,3,2,4,2,4,68,64,,3,3,2,4,2,4,3,67,67,,3,4,3,3,58,55,,3,,3,4,4,5,5,,4,2,,,,4,,,,,,3,4,3,3,3,3,,,,,,,,,,,,,,,Low
Argentina,ARG,Rest,2013,Rest,2015,Rest,2017,Rest,2019,Rest,2021,Rest,,2,2,3,21212,2,Americas,0,,64,67,8,,2,4,2,4,2,4,77,75,,4,4,4,4,83,81,,2,4,2,4,3,71,66,,2,4,2,4,2,4,74,69,,1,5,4,4,3,3,2,4,74,68,,3,3,3,4,3,3,52,51,,3,3,2,2,4,4,2,46,42,,2,4,2,4,4,4,2,3,4,1,59,63,,4,4,4,2,4,2,4,80,78,,2,4,2,4,1,5,4,81,83,,4,4,4,4,74,71,,2,,5,5,5,4,7,,2,4,,,,4,,,,,,3,4,3,3,3,3,3,3,4,3,3,3,2,4,4,3,4,2,4,2,High
Armenia,ARM,Rest,2013,Rest,Rest,Rest,2017,2018,Rest,Rest,2021,Rest,,5,4,3,10051,4,Eastern Europe & Central Asia,0,,50,58,6,,3,3,3,3,2,4,62,60,,4,4,3,3,66,62,,2,4,3,3,3,63,60,,3,3,3,3,3,3,58,53,,2,4,3,3,3,3,2,4,63,62,,3,3,3,3,3,4,61,60,,3,3,3,3,3,4,2,43,45,,3,3,3,3,4,4,2,3,2,2,45,49,,4,4,3,2,4,2,4,72,71,,3,3,3,3,2,4,3,62,59,,3,4,3,3,63,60,,2,,4,5,5,6,5,,3,3,,,,3,,,,,,3,3,3,2,3,3,3,3,4,2,4,3,2,4,3,3,3,3,3,3,Moderate
Antigua and Barbuda,ATG,Rest,Rest,Rest,Rest,Rest,Rest,2018,Rest,Rest,Rest,Rest,,2,2,4,21491,2,Americas,0,,,48,6,,4,3,4,3,2,4,50,50,,4,4,4,4,72,72,,4,3,4,3,3,38,38,,4,2,4,2,,,,53,,2,4,3,3,5,1,3,3,43,43,,4,5,1,2,3,5,45,44,,1,1,1,5,1,5,2,0,4,,2,5,4,2,4,4,1,1,1,1,31,39,,,5,4,2,4,2,4,,79,,3,4,2,5,2,5,4,63,79,,2,4,2,3,41,41,,2,,7,3,3,3,4,,5,1,,,,,,,,,,,,,,2,4,2,4,1,4,2,3,2,4,2,3,4,2,3,4,Low
Australia,AUS,Rest,2013,Rest,Rest,2016,Rest,Rest,2019,Rest,Rest,2022,,1,1,4,50122,5,East Asia & Oceania,1,,72,70,9,,3,3,3,3,2,4,65,63,,5,4,5,5,91,91,,2,4,2,4,4,74,72,,3,3,2,4,2,4,67,58,,1,5,4,3,2,4,2,4,74,75,,2,3,3,3,3,3,45,42,,3,3,3,3,3,3,3,50,52,,1,5,2,4,4,4,5,4,4,2,77,75,,4,4,4,2,4,2,4,86,77,,3,3,2,4,1,5,4,78,78,,4,4,4,4,84,84,,2,,8,7,7,7,9,,2,4,4,1,5,5,5,1,5,2,4,,,,,3,3,3,3,2,3,3,4,2,4,3,3,4,2,4,2,High
Austria,AUT,Rest,2013,Rest,Rest,2016,2017,Rest,2019,Rest,Rest,2022,,1,1,4,51637,4,Europe,1,,74,79,9,,2,4,2,4,1,5,85,78,,4,5,5,5,89,88,,1,5,1,5,4,84,72,,2,4,2,4,2,4,86,85,,1,5,4,4,3,3,1,5,77,77,,3,2,4,4,4,2,60,60,,4,3,3,2,4,2,4,67,65,,1,5,1,5,5,5,5,5,5,1,82,83,,5,5,5,1,5,1,5,93,93,,2,4,2,4,1,5,4,77,80,,5,4,4,4,87,86,,2,,9,7,8,7,9,,1,5,4,2,4,5,5,1,5,2,4,2,4,4,4,2,4,3,4,4,1,5,5,1,5,4,4,3,3,3,4,Very High
Azerbaijan,AZE,Rest,2013,Rest,2015,Rest,Rest,2018,Rest,2020,Rest,Rest,,7,6,3,16319,4,Eastern Europe & Central Asia,0,,36,36,2,,3,3,4,2,3,3,43,36,,2,3,1,2,38,31,,3,3,3,3,3,60,53,,3,3,4,2,3,3,44,43,,4,2,3,3,3,3,4,2,46,39,,2,4,2,2,2,4,35,28,,2,2,2,4,2,4,2,32,26,,3,3,4,2,3,2,3,3,4,1,44,40,,2,4,2,4,2,4,2,45,38,,3,3,2,4,2,4,2,59,49,,2,3,2,2,29,21,,1,,2,2,2,4,2,,3,3,,,,,,,,,,,,,,2,4,3,3,2,2,4,3,1,5,2,2,4,3,4,3,Very Low
Burundi,BDI,Rest,Rest,Rest,2015,Rest,Rest,Rest,Rest,2020,Rest,Rest,,7,6,1,788,1,Eastern & Southern Africa,0,,,27,2,,3,3,4,2,3,3,43,36,,2,2,2,2,32,23,,4,2,4,2,2,37,35,,4,2,4,2,4,2,37,26,,4,2,3,3,4,2,4,2,42,28,,2,4,2,1,2,3,35,29,,1,1,2,3,3,5,1,29,13,,4,2,4,2,3,2,2,2,3,2,37,26,,2,3,2,4,2,4,2,33,38,,5,1,3,3,4,2,2,40,27,,2,3,2,2,34,23,,1,,3,2,3,5,3,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Low
